n,tempo_ms,desvio
10000,78.667422,0.966543
20000,310.891464,1.386182
30000,697.069994,1.532938
40000,1236.096810,3.463289
50000,1938.397350,34.745728
60000,2780.851622,11.000921
70000,3781.737184,6.908186
80000,4990.130062,125.337405
90000,6249.919258,13.292789
100000,7714.023598,39.116085
